App,Category,Rating,Reviews,Size,Price,Content_Rating,Genres,Last_Updated,Installs
4650,25,4,2416,184,78,0,77,139,7466
3423,28,4,2869,384,78,1,97,604,7061
2717,15,2,798,75,62,0,57,567,5095
3506,27,4,3903,257,78,0,96,953,4505
5072,15,3,695,371,78,1,57,549,6311
2797,29,2,1,219,78,1,103,485,6162
1162,11,2,3276,54,78,0,47,1099,4905
1180,14,4,1937,384,78,1,83,604,4861
726,12,4,2652,384,78,0,55,570,4451
2270,29,1,2762,310,78,0,103,295,4240
6310,14,4,911,149,78,1,6,728,5710
5500,6,4,4220,1,78,1,32,614,5710
6225,27,4,3963,384,78,0,96,582,6062
2860,0,4,38,17,78,0,9,492,7699
2210,4,2,0,261,78,1,20,102,6164
5383,29,3,3823,62,78,1,103,437,6766
2287,3,4,4500,174,78,1,18,1087,6337
1825,7,4,3643,142,78,1,33,570,6946
6013,3,4,3898,31,78,1,18,189,5420
3142,28,2,2806,80,78,1,97,771,5136
3392,14,4,506,17,78,1,78,9,4320
1498,11,3,199,31,78,0,47,483,7639
5692,9,4,4429,384,78,0,47,671,6849
6746,15,4,3370,384,78,1,57,708,6138
3502,6,4,117,14,78,1,32,879,4170
2990,18,3,2254,175,78,0,62,827,6142
3599,14,4,923,168,78,1,6,253,6435
6440,11,3,511,14,78,1,34,685,7177
1385,14,2,359,168,78,0,6,315,6798
501,1,4,1122,23,78,1,12,668,5265
3669,6,4,2545,384,78,0,32,455,6555
835,29,2,2806,20,78,0,103,193,6912
2586,3,4,395,80,78,0,18,4,5089
1755,14,4,1620,282,78,0,25,611,4264
3686,12,4,2554,384,78,1,55,579,4053
2826,25,3,3729,2,78,0,77,679,4270
4102,11,2,3388,318,78,0,78,771,4792
6869,21,4,1220,260,78,0,70,1175,4106
509,12,4,2762,60,78,0,55,784,4220
1688,3,2,1369,36,66,1,18,995,7345
54,20,2,1,89,78,1,66,573,5544
5819,11,4,1047,116,78,0,7,641,4691
1892,14,4,3056,380,78,1,99,532,7519
5118,11,4,625,202,78,0,48,677,4998
6599,20,4,2030,27,78,1,66,557,6608
1132,11,4,1402,384,78,0,25,941,7128
647,2,2,0,384,78,0,13,57,6245
7136,16,2,0,179,78,0,60,932,7593
3432,4,4,1278,62,78,0,20,637,5836
413,3,2,0,182,78,1,18,956,5746
6973,27,2,3643,215,78,0,96,500,6192
1421,29,2,1,187,78,0,103,556,4298
3641,7,2,93,20,78,0,33,563,4815
517,25,4,1237,134,78,0,77,500,7763
85,7,4,1729,309,78,0,33,814,6265
6628,20,4,2104,180,78,0,66,617,5250
3538,11,4,961,216,78,1,34,326,6923
724,6,4,489,384,78,1,32,139,5032
7193,10,2,199,17,78,0,54,939,4533
4845,32,4,2257,80,35,1,111,180,4037
4980,11,4,55,384,78,1,45,930,5840
2547,28,4,972,11,78,0,97,863,4241
1052,12,4,747,70,78,1,55,623,4190
3759,24,4,1564,262,78,1,76,570,6864
1118,23,3,1860,23,78,0,75,1095,4160
5139,30,3,3016,384,78,1,105,106,4841
6745,28,4,2162,220,78,1,97,1207,4331
1643,29,4,4080,78,78,0,103,485,7894
2801,25,4,3134,182,78,0,77,1137,5181
1960,3,2,0,304,78,1,18,252,7732
3948,0,3,3509,339,78,1,9,518,4005
3614,13,4,2268,384,78,0,56,930,6633
4634,29,2,4457,220,78,1,103,1132,5129
