loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,loan_status
16000,16000,16000.0,1,12.74,361.93,2,10,10382,10,4,250000.0,2,6,0,1,2,835,46,0,395,0.0,13,0
6000,6000,6000.0,0,9.75,192.9,1,7,11928,3,1,48000.0,2,11,0,3,6,360,16,0,140,2.0,14,1
15050,15050,15050.0,1,17.09,374.76,3,15,9349,1,4,41000.0,1,16,0,1,2,91,33,1,342,0.0,20,1
20675,20675,20675.0,0,9.44,661.71,1,5,7891,1,1,54000.0,2,20,0,4,5,812,4,0,433,2.0,13,0
11000,11000,11000.0,0,7.97,344.55,0,4,7648,0,4,60000.0,0,12,0,1,2,768,4,0,544,0.0,16,1
5825,5825,5825.0,0,5.32,175.42,0,0,5493,9,1,100000.0,0,13,0,2,3,321,1,0,525,0.0,16,1
15000,15000,15000.0,0,13.49,508.96,2,11,13804,2,1,115000.0,1,8,0,2,3,812,4,1,238,0.0,10,1
20000,20000,19950.0,0,14.99,693.21,2,13,3236,3,1,145000.0,0,4,0,2,3,178,7,0,290,1.0,12,0
4800,4800,4800.0,0,9.75,154.32,1,7,7906,3,3,26000.0,0,13,0,11,11,814,4,0,578,0.0,5,0
5000,5000,5000.0,0,11.99,166.05,2,10,7891,1,1,72000.0,1,7,0,2,3,218,44,1,29,1.0,12,0
2200,2200,2200.0,0,15.99,77.34,2,14,8000,4,1,109000.0,1,4,0,7,9,785,4,0,582,0.0,18,1
26000,26000,26000.0,0,11.44,856.64,1,8,8182,2,4,124000.0,2,17,0,2,3,195,44,0,92,0.0,17,0
4500,4500,4500.0,0,11.44,148.27,1,8,11483,0,4,52000.0,0,14,0,2,3,443,21,0,545,0.0,9,1
15000,15000,15000.0,0,12.99,505.34,2,11,8258,10,4,50000.0,2,11,0,2,3,540,13,0,372,0.0,11,1
24000,24000,24000.0,0,6.49,735.47,0,1,830,10,4,85000.0,2,11,0,1,2,436,21,0,287,0.0,18,0
35000,35000,35000.0,1,13.59,806.97,2,11,963,5,1,161000.0,2,10,0,1,2,21,29,0,281,0.0,14,0
25000,25000,25000.0,0,13.99,854.32,2,12,7757,10,4,75000.0,2,1,0,2,3,800,4,0,286,0.0,12,1
4200,4200,4200.0,0,5.32,126.49,0,0,6430,7,1,90000.0,1,3,0,3,6,736,3,0,491,0.0,7,1
4500,4500,4500.0,0,7.97,140.96,0,4,4460,2,1,45000.0,2,10,0,1,2,542,13,3,590,0.0,9,1
15000,15000,15000.0,0,13.67,510.27,2,12,13646,1,4,84000.0,0,13,0,2,3,769,4,0,95,2.0,11,1
1500,1500,1500.0,0,13.99,51.26,2,12,4030,10,4,24000.0,1,19,0,2,3,771,4,0,591,0.0,14,0
12000,12000,12000.0,1,15.99,291.76,2,14,229,1,1,85000.0,0,6,0,3,6,411,34,0,505,0.0,6,0
8000,8000,8000.0,0,6.99,246.99,0,1,9996,8,1,83000.0,2,9,0,2,3,823,11,0,338,0.0,13,0
7500,7500,7500.0,0,10.42,243.49,1,7,5550,4,1,40000.0,2,3,0,1,2,280,10,0,390,0.0,2,1
6175,6175,6175.0,0,14.08,211.29,2,12,14672,11,4,17160.0,2,20,0,1,2,31,20,0,179,0.0,8,1
9800,9800,9800.0,0,11.47,323.03,1,9,6755,4,4,70000.0,0,13,0,8,10,520,13,15,285,0.0,12,1
10000,10000,10000.0,0,5.32,301.15,0,0,14672,11,1,76132.5,2,0,0,1,12,247,26,2,368,0.0,12,0
3025,3025,3025.0,0,11.99,100.46,1,9,771,3,4,55000.0,0,3,0,2,3,277,10,0,189,0.0,2,1
10000,10000,10000.0,1,7.91,202.34,0,4,1553,8,4,80000.0,0,7,0,8,10,804,4,0,91,0.0,15,0
5000,5000,5000.0,0,7.35,155.19,0,3,13404,3,1,55000.0,0,16,0,2,3,518,13,0,481,0.0,8,0
16000,16000,16000.0,1,13.67,369.57,2,12,14650,1,4,37000.0,2,15,0,2,3,58,30,0,188,1.0,7,1
