GAME_DATE_EST,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
4303,2022,126.0,0.484,0.926,0.382,25.0,46.0,117.0,0.478,0.815,0.321,23.0,44.0,1
4303,2022,120.0,0.488,0.952,0.457,16.0,40.0,112.0,0.561,0.765,0.333,20.0,37.0,1
4302,2022,114.0,0.482,0.786,0.313,22.0,37.0,106.0,0.47,0.682,0.433,20.0,46.0,1
4302,2022,113.0,0.441,0.909,0.297,27.0,49.0,93.0,0.392,0.735,0.261,15.0,46.0,1
4302,2022,108.0,0.429,1.0,0.378,22.0,47.0,110.0,0.5,0.773,0.292,20.0,47.0,0
4302,2022,112.0,0.386,0.84,0.317,26.0,62.0,117.0,0.469,0.778,0.462,27.0,47.0,0
4302,2022,143.0,0.643,0.875,0.636,42.0,32.0,113.0,0.494,0.76,0.364,32.0,36.0,1
4302,2022,106.0,0.553,0.611,0.423,25.0,38.0,113.0,0.447,0.909,0.265,17.0,38.0,0
4302,2022,110.0,0.466,0.647,0.395,22.0,49.0,116.0,0.451,0.697,0.297,19.0,45.0,0
4302,2022,99.0,0.494,0.7,0.267,23.0,39.0,104.0,0.453,0.852,0.333,17.0,39.0,0
4302,2022,101.0,0.468,0.84,0.333,19.0,37.0,98.0,0.494,0.667,0.389,29.0,36.0,1
4302,2022,134.0,0.505,0.75,0.362,29.0,46.0,120.0,0.5,0.833,0.458,25.0,39.0,1
4302,2022,126.0,0.506,0.913,0.469,29.0,48.0,105.0,0.402,0.759,0.29,25.0,40.0,1
4301,2022,111.0,0.506,0.741,0.36,22.0,43.0,126.0,0.505,0.632,0.435,27.0,43.0,0
4301,2022,103.0,0.469,0.706,0.341,26.0,35.0,113.0,0.548,0.833,0.419,24.0,39.0,0
4301,2022,132.0,0.517,0.781,0.425,27.0,47.0,94.0,0.473,0.923,0.343,23.0,29.0,1
4301,2022,110.0,0.461,0.789,0.406,26.0,44.0,113.0,0.475,0.703,0.407,22.0,41.0,0
4301,2022,105.0,0.449,0.6,0.37,28.0,48.0,91.0,0.444,0.667,0.192,25.0,42.0,1
4300,2022,122.0,0.614,0.808,0.577,24.0,45.0,99.0,0.387,0.739,0.294,19.0,35.0,1
4300,2022,104.0,0.4,0.926,0.357,22.0,41.0,101.0,0.42,0.8,0.275,24.0,50.0,1
4300,2022,126.0,0.511,0.9,0.375,29.0,41.0,125.0,0.474,0.92,0.353,29.0,45.0,1
4300,2022,105.0,0.426,0.645,0.208,23.0,41.0,124.0,0.554,0.789,0.5,30.0,46.0,0
4300,2022,116.0,0.472,0.833,0.387,19.0,44.0,106.0,0.408,0.806,0.422,23.0,42.0,1
4300,2022,119.0,0.424,0.708,0.4,30.0,44.0,128.0,0.556,0.806,0.325,26.0,44.0,0
4300,2022,123.0,0.455,0.865,0.355,20.0,39.0,121.0,0.5,0.81,0.432,26.0,45.0,1
4300,2022,130.0,0.495,0.75,0.513,21.0,51.0,104.0,0.448,0.824,0.429,13.0,38.0,1
4300,2022,119.0,0.474,0.548,0.364,23.0,42.0,125.0,0.516,0.739,0.323,26.0,56.0,0
4299,2022,92.0,0.348,0.857,0.255,22.0,54.0,95.0,0.384,0.895,0.414,20.0,46.0,0
4299,2022,106.0,0.433,0.652,0.342,20.0,44.0,109.0,0.47,0.767,0.308,13.0,49.0,0
4299,2022,121.0,0.477,0.853,0.267,20.0,41.0,124.0,0.55,0.913,0.517,26.0,35.0,0
4299,2022,110.0,0.421,0.773,0.394,21.0,43.0,126.0,0.531,0.846,0.462,31.0,41.0,0
4299,2022,150.0,0.655,0.813,0.535,38.0,39.0,126.0,0.523,0.75,0.421,31.0,30.0,1
4299,2022,119.0,0.457,0.647,0.333,33.0,55.0,115.0,0.427,0.913,0.316,26.0,48.0,1
4299,2022,119.0,0.5,0.727,0.407,29.0,43.0,117.0,0.463,0.792,0.256,24.0,48.0,1
4298,2022,102.0,0.43,0.615,0.414,19.0,49.0,93.0,0.429,0.923,0.36,20.0,42.0,1
4298,2022,101.0,0.429,0.758,0.37,29.0,38.0,111.0,0.512,0.696,0.367,25.0,40.0,0
4298,2022,100.0,0.426,0.591,0.194,23.0,51.0,99.0,0.409,0.632,0.306,19.0,45.0,1
4298,2022,95.0,0.4,0.69,0.103,19.0,51.0,107.0,0.471,0.737,0.361,20.0,36.0,0
4298,2022,123.0,0.533,0.818,0.474,30.0,54.0,97.0,0.453,0.5,0.34,24.0,29.0,1
4298,2022,115.0,0.413,0.645,0.422,29.0,53.0,109.0,0.378,0.784,0.267,15.0,53.0,1
4298,2022,118.0,0.47,0.714,0.366,23.0,35.0,114.0,0.584,0.769,0.467,27.0,36.0,1
4297,2022,106.0,0.398,0.684,0.349,26.0,43.0,125.0,0.547,0.824,0.517,25.0,41.0,0
4297,2022,113.0,0.459,0.806,0.345,22.0,46.0,122.0,0.524,0.828,0.387,30.0,33.0,0
4297,2022,109.0,0.417,0.824,0.239,17.0,38.0,117.0,0.462,0.857,0.273,19.0,53.0,0
4297,2022,118.0,0.5,0.875,0.452,23.0,34.0,112.0,0.525,0.895,0.306,34.0,33.0,1
4297,2022,118.0,0.459,0.806,0.395,23.0,49.0,106.0,0.415,0.846,0.395,31.0,48.0,1
4297,2022,116.0,0.488,0.862,0.375,17.0,32.0,119.0,0.605,0.783,0.346,22.0,37.0,0
4297,2022,91.0,0.468,0.875,0.4,26.0,39.0,114.0,0.402,0.719,0.386,19.0,50.0,0
4297,2022,110.0,0.466,0.81,0.297,29.0,45.0,112.0,0.494,0.56,0.48,23.0,43.0,0
4297,2022,130.0,0.556,0.846,0.419,25.0,40.0,110.0,0.438,0.76,0.351,21.0,42.0,1
4297,2022,126.0,0.527,0.75,0.364,29.0,45.0,108.0,0.481,0.75,0.333,25.0,39.0,1
4296,2022,108.0,0.468,0.647,0.273,22.0,51.0,111.0,0.443,0.739,0.34,21.0,40.0,0
4296,2022,142.0,0.549,0.783,0.375,30.0,56.0,101.0,0.372,0.667,0.26,22.0,39.0,1
4296,2022,132.0,0.457,0.811,0.383,24.0,44.0,129.0,0.475,0.821,0.4,24.0,49.0,1
4296,2022,95.0,0.378,0.714,0.364,21.0,52.0,111.0,0.463,0.778,0.281,27.0,53.0,0
4295,2022,134.0,0.412,0.793,0.333,21.0,52.0,141.0,0.516,0.75,0.45,25.0,52.0,0
4295,2022,125.0,0.506,0.84,0.41,30.0,34.0,119.0,0.465,0.862,0.424,27.0,46.0,1
4295,2022,135.0,0.505,0.833,0.444,28.0,46.0,124.0,0.5,0.889,0.343,30.0,39.0,1
4295,2022,123.0,0.5,0.852,0.286,25.0,39.0,124.0,0.484,0.85,0.37,29.0,50.0,0
4295,2022,120.0,0.548,0.864,0.321,25.0,31.0,128.0,0.495,0.8,0.529,25.0,48.0,0
4295,2022,108.0,0.5,0.739,0.375,26.0,44.0,110.0,0.43,0.8,0.429,25.0,39.0,0
4295,2022,112.0,0.464,0.579,0.379,23.0,40.0,128.0,0.605,0.706,0.45,26.0,40.0,0
4295,2022,90.0,0.392,0.731,0.342,17.0,33.0,105.0,0.526,0.789,0.333,26.0,43.0,0
4295,2022,141.0,0.651,0.829,0.25,31.0,45.0,128.0,0.527,0.565,0.487,40.0,24.0,1
4295,2022,99.0,0.382,0.81,0.304,21.0,52.0,88.0,0.419,0.733,0.182,15.0,43.0,1
4294,2022,123.0,0.512,0.778,0.457,34.0,42.0,103.0,0.413,0.85,0.238,21.0,48.0,1
4294,2022,128.0,0.549,0.813,0.414,22.0,55.0,111.0,0.4,0.789,0.4,25.0,37.0,1
4294,2022,111.0,0.42,0.912,0.343,16.0,67.0,97.0,0.32,0.947,0.255,22.0,44.0,1
4294,2022,121.0,0.476,0.667,0.319,31.0,59.0,100.0,0.398,0.667,0.148,25.0,43.0,1
4294,2022,118.0,0.473,0.733,0.276,23.0,49.0,122.0,0.442,0.688,0.396,27.0,51.0,0
4293,2022,82.0,0.354,0.75,0.282,16.0,45.0,87.0,0.386,0.778,0.265,23.0,48.0,0
4293,2022,100.0,0.468,0.682,0.355,21.0,44.0,112.0,0.494,0.889,0.296,25.0,41.0,0
4293,2022,128.0,0.602,0.833,0.406,36.0,49.0,103.0,0.356,0.773,0.324,20.0,39.0,1
4293,2022,121.0,0.419,0.84,0.407,24.0,50.0,114.0,0.477,0.952,0.323,21.0,42.0,1
4293,2022,112.0,0.474,0.688,0.333,25.0,46.0,111.0,0.489,0.941,0.217,21.0,44.0,1
4293,2022,133.0,0.539,0.762,0.457,32.0,54.0,112.0,0.495,0.526,0.37,25.0,37.0,1
4293,2022,113.0,0.489,0.714,0.4,18.0,46.0,93.0,0.434,0.692,0.231,27.0,36.0,1
4292,2022,129.0,0.581,0.75,0.32,31.0,43.0,124.0,0.467,0.765,0.342,34.0,42.0,1
4292,2022,117.0,0.462,0.824,0.378,28.0,40.0,124.0,0.548,0.778,0.423,31.0,42.0,0
4292,2022,112.0,0.449,0.889,0.229,19.0,55.0,99.0,0.398,0.657,0.256,20.0,41.0,1
4292,2022,111.0,0.468,0.806,0.452,25.0,42.0,99.0,0.4,0.868,0.24,18.0,28.0,1
4292,2022,131.0,0.554,0.813,0.481,31.0,41.0,113.0,0.409,0.867,0.367,21.0,45.0,1
4292,2022,123.0,0.48,0.762,0.333,28.0,45.0,122.0,0.48,0.826,0.259,28.0,53.0,1
