App,Category,Reviews,Size,Type,Price,Content_Rating,Genres,Last_Updated,Current_Ver,Android_Ver,Installs
6963,1,1182,54,16,12831,1,9,561,118,9,34943
2632,1,5923,28,39,14575,3,12,481,1018,11,23149
8657,1,5680,367,33,11853,5,9,116,464,8,27864
7828,1,1946,100,19,12461,9,9,824,2765,12,33749
7023,1,5923,63,32,11833,6,11,756,277,14,24981
6879,1,1309,221,46,12064,1,9,900,113,9,29490
7881,1,1463,54,41,13580,6,9,75,277,11,38380
5378,1,3384,116,19,11112,3,9,725,2391,14,24152
4804,1,815,144,45,13785,4,9,1316,1455,11,31958
5591,1,484,119,14,13162,9,11,669,1429,13,20216
8333,1,833,112,49,14688,2,9,1239,201,8,38736
6524,1,5694,23,39,14371,9,9,680,159,9,37552
8277,1,3913,71,2,11243,9,9,46,1822,9,39344
6026,1,3829,75,37,12661,6,9,782,201,13,20227
60,1,1056,159,8,14251,1,9,193,455,12,36535
5768,1,4459,62,35,12737,3,9,817,2832,9,31146
6961,1,3352,220,37,14051,6,9,680,1584,9,37355
54,1,2560,44,21,14266,4,9,1166,113,13,29490
4523,1,1687,163,16,13325,3,9,193,1225,9,33140
9505,1,2051,137,41,11472,9,9,675,2304,13,37302
5873,1,3924,28,15,12838,5,9,50,1898,14,32462
1748,1,4914,23,30,10582,1,9,878,277,13,28696
8132,1,5344,167,28,12480,3,9,590,1228,8,28849
6103,1,4729,309,37,13076,5,10,941,118,8,39422
5038,1,442,87,20,14211,3,9,695,306,9,36102
5126,1,1654,264,30,13826,5,9,72,642,8,31259
2626,1,1775,100,32,14146,4,11,1185,229,9,20819
745,1,1779,265,18,10569,3,9,882,259,12,28119
6917,1,777,171,33,12882,4,9,590,2361,9,21020
3861,1,2034,167,11,12377,4,9,165,113,11,33460
7008,1,305,410,1,10241,8,9,590,2467,12,25805
821,1,2083,217,1,10081,1,9,1050,424,8,25155
749,1,4224,19,47,14048,3,9,619,1236,11,32397
3860,1,46,19,40,11962,7,9,557,280,14,34048
5306,1,3283,167,11,12116,8,9,78,689,14,26136
5269,1,4521,410,2,12803,4,9,586,1091,13,30920
8679,1,5497,94,3,12844,8,11,156,234,14,27619
4532,1,3372,461,18,12403,7,9,597,2765,11,35769
6834,1,1168,19,44,11243,7,9,1145,532,12,20010
5261,1,4637,412,28,10077,3,9,923,110,9,33765
3455,1,423,33,28,10578,5,9,628,1026,12,37619
7622,1,1438,16,11,10351,6,9,46,113,13,31391
8335,1,2803,461,14,10595,2,9,675,2765,9,28980
6872,1,2005,3,17,10241,2,11,29,636,14,25930
7103,1,2462,23,38,12743,1,9,541,118,10,28556
2372,1,1418,94,37,10907,6,9,680,694,12,35008
5400,1,189,104,18,12868,1,9,1092,689,14,31246
5844,1,5599,359,28,10876,4,9,261,1018,8,23156
5262,1,5586,318,33,13789,5,9,1036,113,8,24310
6298,2,3373,100,7,11396,7,13,958,113,12,23820
7381,2,1195,254,24,14652,9,13,652,885,12,20271
8715,2,2690,255,36,10315,5,13,652,1528,12,25339
8758,2,1360,461,1,11338,9,13,675,2765,11,20972
695,2,638,151,39,13599,5,13,652,1528,13,37105
6720,2,4420,144,33,14748,4,13,680,1898,14,33361
8471,2,143,144,44,12979,2,13,615,724,10,33005
4811,2,5458,221,14,11371,8,13,665,1344,9,20208
4071,2,638,244,30,12394,9,13,652,1528,13,29964
7441,2,850,66,46,11421,3,13,176,139,13,30010
7291,2,3570,124,17,12298,9,13,675,1338,11,33892
2552,2,4378,222,24,10463,7,13,698,801,13,38940
1955,2,5365,44,9,13165,6,13,669,719,11,25990
9453,2,3529,366,45,11222,8,13,661,1237,10,28141
4647,2,2264,59,15,13679,5,13,717,585,10,31399
2966,2,4725,107,41,14460,8,13,669,719,9,34818
2483,2,2799,62,31,14698,3,13,675,41,9,38612
8757,2,1627,60,18,13196,9,13,1194,113,12,28045
8724,2,3611,461,25,14473,4,13,675,2765,10,34897
7294,2,3307,461,9,12858,4,13,1026,2765,11,39819
8761,2,4340,309,36,14074,2,13,605,2051,8,32200
4459,2,422,151,9,14469,6,13,156,819,14,24286
7589,2,814,38,37,11121,6,13,156,1216,8,29719
714,2,2584,38,6,14328,1,13,586,2765,13,39108
6821,2,5222,461,14,12463,1,13,665,1448,13,22017
8472,2,5104,44,25,10326,1,13,656,757,14,27747
8099,2,1708,122,5,12533,1,13,725,532,12,35528
7092,2,5226,369,26,10011,4,13,824,1287,8,32198
7090,2,3313,127,49,11065,9,13,684,689,12,35564
1546,2,5987,64,2,11691,1,13,904,689,13,35852
8470,2,1709,162,12,11970,1,13,601,2632,14,30589
6995,2,881,141,1,11663,8,13,642,318,14,26574
6875,2,1052,159,11,11799,8,13,656,844,9,24334
8137,2,1945,33,38,11495,6,13,675,347,14,32670
7967,2,817,219,40,13584,2,13,639,113,11,37264
8760,2,4415,47,10,10067,5,13,639,1682,8,26342
2391,2,1974,461,33,14981,5,13,205,2765,13,26956
1017,2,3244,162,46,11452,3,13,665,189,14,23691
7308,2,2344,2,20,10123,8,13,78,593,14,33018
869,2,739,461,45,13098,6,13,193,2765,12,22531
9301,2,5406,461,28,10938,4,13,958,2090,14,34705
7597,2,3341,318,7,10222,4,13,985,1434,12,28474
7592,2,4091,151,3,11307,6,13,680,1914,13,33769
4696,2,4930,461,19,12763,3,13,156,2765,8,25560
9336,2,2972,44,41,11470,9,13,156,625,13,22810
8759,2,4247,54,4,10342,2,13,639,657,9,24438
663,2,1431,28,13,12579,9,13,753,1285,10,37054
5386,2,2539,57,24,10791,7,13,878,259,8,35472
4812,2,636,170,9,11750,4,13,53,1180,10,24238
5289,3,1611,44,39,13726,4,14,156,2396,12,24676
9510,3,4199,28,5,14265,2,14,1174,1264,9,31094
6535,3,376,416,18,13188,5,14,980,1898,8,36470
1562,3,1408,75,20,10560,4,14,590,213,9,33785
6231,3,3024,461,14,12682,4,14,1229,2765,10,35136
1514,3,2029,238,36,10201,9,14,425,689,14,34335
5105,3,3851,28,40,12534,3,14,646,797,12,36295
4444,3,5626,100,7,13869,9,14,958,280,13,25913
8473,3,5913,408,32,10231,3,14,759,1898,9,36616
8705,3,3737,461,22,13728,4,14,812,2285,13,30679
7168,3,118,23,39,13328,2,14,782,532,12,27761
7729,3,1476,461,22,14950,4,14,1289,2765,11,25396
8160,3,4692,151,28,11162,9,14,753,1018,13,30940
2633,3,3333,271,40,11920,6,14,652,2361,13,25249
7731,3,1582,131,18,13054,3,14,642,1534,13,35262
9150,3,1502,222,39,10641,3,14,1316,2588,12,31290
4083,3,2856,64,18,10843,7,14,112,1721,11,23281
6965,3,744,44,5,13508,4,14,832,477,10,25517
8031,3,5235,64,4,10812,2,14,101,1267,14,35784
1509,3,348,461,27,12499,9,14,192,2765,14,37675
4850,3,3328,461,4,12958,9,14,1021,2765,11,26173
6232,3,5824,61,9,12747,8,14,1117,609,13,26750
1515,3,5264,167,19,14645,1,14,1208,118,11,33086
5104,3,3471,310,15,11645,3,14,1039,113,12,38983
7739,3,2542,255,46,10275,8,14,642,1002,8,36847
6038,3,456,125,7,13137,8,14,639,532,8,39191
8037,3,2086,81,24,14230,3,14,590,280,11,27952
4443,3,2093,94,22,12669,9,14,976,280,9,21744
7833,3,4914,313,23,11798,7,14,609,388,9,22883
4338,3,1534,75,1,10667,4,14,623,642,12,37392
6019,3,5742,122,41,10264,1,14,820,113,11,31137
7718,3,5345,64,20,14262,1,14,224,1017,12,20197
7389,3,3260,119,15,10950,8,14,239,1017,8,26357
3295,3,3354,268,34,12745,3,14,1021,277,10,22059
4081,3,1483,120,43,14385,4,14,706,442,14,34892
3465,3,4054,361,18,11665,2,14,831,175,13,29340
5690,3,2856,417,34,14613,8,14,521,1528,8,24296
8032,3,4938,64,43,11449,4,14,101,1619,13,25000
7340,3,3517,87,46,11933,2,14,675,1198,8,26628
6172,3,2426,171,23,11217,8,14,219,113,9,21157
4855,3,4776,119,39,10518,8,14,1036,808,8,24259
8976,4,2757,461,42,11717,1,19,116,2765,9,26754
3517,4,1555,174,43,12535,7,19,193,545,11,37833
3371,4,3911,413,33,11692,4,19,679,277,10,25337
9097,4,4584,461,21,10290,9,19,156,2765,8,23044
685,4,5495,461,1,14467,5,19,656,2765,12,34379
2686,4,2302,461,12,13002,8,19,607,2765,9,38708
3260,4,3940,461,26,14193,2,19,993,2765,9,29641
6513,4,1118,461,42,12794,9,19,72,2765,14,39450
4637,4,3722,167,14,14283,9,19,904,1091,11,35809
1729,4,2055,219,22,10750,7,19,817,1661,9,20209
4121,4,1784,461,21,11164,9,19,790,2765,11,32187
3976,4,912,63,25,14018,3,19,509,113,14,26734
4616,4,408,215,24,11636,2,19,116,1025,8,31300
4938,4,910,461,38,12372,4,19,193,2765,10,38002
618,4,5759,224,18,12984,6,19,1035,829,8,32942
6710,4,5643,24,39,14383,1,19,609,113,8,27692
6801,4,3353,310,28,11114,7,19,586,2668,14,26313
6713,4,5923,271,14,13672,3,19,205,323,11,32511
7958,4,5693,461,21,11422,7,19,1036,2765,8,36965
4358,4,1426,44,24,14541,5,19,628,1275,14,29529
2586,4,1569,54,45,11407,2,19,78,1225,14,37283
7391,4,1852,271,43,10480,1,19,988,952,13,31134
7361,4,4055,75,20,11103,7,19,753,986,8,27619
6511,4,1641,461,41,12888,8,19,72,2765,13,27467
757,4,1213,62,19,12260,2,19,593,113,12,35921
3881,4,5636,159,14,10363,7,19,777,2181,12,36548
5834,4,5391,33,49,13383,4,19,684,455,13,26340
7358,4,5791,87,5,13587,2,19,794,1632,11,39236
3986,4,3996,54,19,11130,7,19,1124,1017,9,24822
9424,4,1922,87,11,11062,7,19,756,520,8,36602
3979,4,2545,334,48,13982,6,19,116,2375,11,36552
4559,4,1461,174,14,10749,8,19,1198,189,10,39069
653,4,2566,272,27,12872,1,19,586,797,10,26350
711,4,4882,461,21,10363,9,19,680,2765,12,38902
5077,4,5551,461,2,11001,3,19,187,2663,9,33113
3987,4,4346,64,1,12288,9,19,923,942,10,20743
6905,4,712,123,25,11158,3,19,1036,2361,12,27000
4615,4,1320,165,24,13603,5,19,158,1580,14,23680
9423,4,2602,75,36,14837,2,19,609,1017,10,26521
6756,4,178,58,21,10598,6,19,734,642,14,30321
6304,4,2167,461,23,12915,3,19,954,2765,14,23519
7582,4,1744,311,35,12663,1,19,730,1528,8,35698
3990,4,5694,16,29,13580,1,19,661,1354,13,35796
4891,4,4266,265,44,13784,2,19,619,2505,10,27820
652,4,2862,56,32,10231,6,19,665,388,9,22966
920,4,1132,187,2,13851,2,19,369,1615,9,33041
8683,4,355,312,3,13995,1,19,217,277,12,25739
3975,4,3190,131,45,10989,1,19,878,1840,11,39458
8874,5,1219,461,1,13042,5,22,675,2765,10,30530
5373,5,5000,461,9,13129,7,22,1010,2765,10,39410
8701,5,566,461,9,11301,1,22,193,2765,12,24633
181,5,5605,116,28,11391,3,22,609,1738,10,34106
7885,5,3068,461,22,14204,6,22,1054,2765,9,35240
3321,5,1972,461,42,14847,7,22,46,2765,14,32763
4932,5,5139,461,8,10868,6,22,642,1191,9,34195
6701,5,11,151,45,14671,9,22,156,2697,8,30374
8699,5,1290,409,47,12184,2,22,725,2135,14,32680
5488,5,1007,100,9,12616,2,22,619,2244,13,32040
2766,5,3903,127,43,11340,4,22,698,1699,13,26065
4941,5,4790,47,49,10117,2,22,782,1790,10,25738
630,5,5731,23,45,13173,7,22,680,2088,14,36970
8126,5,4006,75,5,13454,6,22,19,1429,13,39445
