date,open_price,maximim_value,minimum_value,volume,financial,negotiations,mme13,mme72,high_mean,low_mean,diffMACD,deaMACD,MACDlh,difflh,dealh,target,close_price
20879,4206,4206,4204,5024,211292030,1443,4201,4202,4202,4201,0,0,0,0,0,4200,4206
20880,4206,4206,4205,4451,187200190,1175,4202,4202,4202,4201,0,0,0,0,0,4201,4205
20881,4205,4206,4203,6515,273933345,1627,4202,4202,4203,4201,0,0,0,0,0,4199,4204
20882,4204,4204,4203,2751,115640535,801,4202,4202,4203,4201,0,0,0,0,0,4201,4203
20883,4203,4204,4202,3360,141218695,1038,4202,4202,4203,4201,0,0,0,0,0,4207,4202
20884,4202,4203,4201,2545,106941715,900,4202,4202,4203,4201,0,0,0,0,0,4211,4202
20885,4201,4202,4198,11838,497183775,3892,4202,4202,4203,4201,0,0,0,0,0,4208,4199
20886,4199,4200,4198,5151,216289020,1531,4201,4202,4202,4200,0,0,0,0,0,4206,4199
20887,4199,4201,4199,5473,229872610,1636,4201,4202,4202,4200,0,0,0,0,0,4208,4200
20888,4200,4203,4200,7509,315529010,2574,4201,4202,4202,4200,0,0,0,0,0,4207,4202
20889,4202,4203,4199,5443,228663930,1584,4201,4202,4202,4200,0,0,0,0,0,4209,4199
20890,4199,4201,4199,2541,106740400,787,4201,4202,4202,4200,0,0,0,0,0,4210,4201
20891,4201,4201,4200,2392,100476060,770,4201,4202,4202,4200,0,0,0,0,0,4209,4200
20892,4200,4201,4198,6048,253963580,1967,4200,4202,4202,4200,-1,0,0,0,0,4214,4198
20893,4199,4201,4198,3418,143558545,1188,4200,4202,4203,4200,-1,0,0,0,0,4217,4200
20894,4200,4201,4199,1169,49100855,394,4200,4201,4202,4200,-1,0,0,0,0,4217,4200
20895,4201,4201,4199,2697,113285355,833,4200,4201,4202,4199,-1,0,0,0,0,4215,4199
20896,4199,4201,4199,2703,113542200,762,4200,4201,4201,4199,-1,0,0,0,0,4212,4201
20897,4201,4207,4201,14221,597899940,4966,4201,4202,4202,4199,0,0,0,0,0,4210,4207
20898,4207,4211,4206,19046,801580610,5612,4202,4202,4202,4199,0,0,1,0,0,4211,4210
20899,4211,4211,4208,7276,306314175,2179,4203,4202,4203,4200,0,0,2,1,0,4209,4208
20900,4208,4209,4205,8439,355033075,2645,4203,4202,4203,4200,0,0,1,1,0,4210,4206
20901,4206,4210,4206,7558,318023265,2563,4204,4202,4204,4201,1,0,1,1,0,4211,4208
20902,4208,4208,4207,2067,86968805,649,4204,4202,4204,4201,1,0,1,1,0,4210,4207
20903,4207,4210,4207,3636,153029085,1372,4205,4203,4205,4202,1,0,1,1,0,4206,4209
20904,4209,4210,4208,3565,150058400,1265,4206,4203,4205,4202,2,0,1,2,1,4205,4210
20905,4210,4211,4209,2880,121251050,1069,4206,4203,4206,4203,2,0,1,2,1,4209,4209
20906,4209,4214,4209,12104,509877825,4269,4207,4203,4207,4204,3,0,1,2,1,4204,4214
20907,4214,4218,4213,16315,687793285,4620,4209,4204,4208,4205,3,0,2,3,1,4203,4217
20908,4217,4219,4217,12659,533995070,3070,4210,4204,4209,4206,4,0,2,3,2,4204,4217
20909,4217,4218,4214,9807,413508645,2916,4210,4204,4210,4207,5,1,2,3,2,4204,4214
20910,4215,4215,4211,12362,520866480,3161,4211,4204,4211,4208,5,1,1,3,2,4204,4212
20911,4212,4213,4209,14646,616749980,3878,4211,4205,4212,4208,5,1,0,3,2,4201,4210
20912,4210,4212,4209,8756,368670060,2366,4211,4205,4212,4209,4,1,0,2,2,4202,4211
20913,4211,4212,4208,7548,317789900,2243,4210,4205,4212,4209,4,1,0,2,2,4202,4208
20914,4209,4210,4208,4774,200931435,1535,4210,4205,4212,4209,4,2,0,2,2,4202,4210
20915,4210,4213,4209,6719,282975710,2393,4210,4205,4213,4209,4,2,0,1,2,4201,4211
20916,4211,4211,4209,3877,163216840,1365,4210,4205,4213,4210,4,2,-1,1,2,4202,4210
20917,4210,4210,4206,9588,403434625,3234,4209,4205,4213,4209,3,2,-1,1,2,4202,4206
20918,4206,4207,4204,8597,361558935,2805,4209,4205,4213,4209,3,2,-2,0,1,4201,4205
20919,4205,4209,4205,8054,338850140,2177,4209,4205,4213,4209,3,2,-1,0,1,4204,4209
20920,4209,4209,4203,7542,317198430,2331,4208,4205,4212,4209,2,2,-2,0,1,4204,4204
20921,4204,4205,4202,6976,293234565,2294,4207,4205,4212,4208,2,2,-2,0,1,4204,4202
20922,4203,4205,4202,5115,215038625,1464,4207,4205,4211,4208,1,2,-2,0,0,4203,4204
20923,4204,4207,4203,6097,256387970,2071,4206,4205,4210,4207,1,2,-2,0,0,4202,4204
20924,4204,4205,4203,1897,79754785,535,4206,4205,4209,4206,1,2,-1,0,0,4202,4204
20925,4204,4205,4201,7565,317891845,2110,4205,4205,4209,4205,0,2,-2,-1,0,4197,4201
20926,4201,4204,4201,5905,248181165,1641,4205,4205,4208,4205,0,2,1,-1,0,4198,4203
20927,4202,4205,4201,4787,201203525,1340,4204,4205,4208,4204,0,2,-1,-1,0,4198,4202
20928,4202,4203,4201,3140,131935775,1039,4204,4205,4207,4204,0,1,1,-1,0,4197,4203
20929,4202,4203,4201,2543,106859065,589,4204,4205,4206,4203,0,1,-1,-1,0,4193,4202
20930,4201,4202,4201,932,39161985,251,4203,4205,4206,4203,0,1,-1,-1,0,4192,4202
20931,4202,4203,4200,3686,154879815,1197,4203,4205,4205,4202,0,1,0,-1,-1,4193,4203
20932,4202,4203,4201,1841,77359130,512,4203,4204,4205,4202,0,1,0,-1,-1,4191,4201
20933,4201,4204,4201,2766,116252055,760,4203,4204,4205,4202,0,1,0,-1,-1,4188,4203
20934,4204,4206,4203,6919,290940055,2043,4203,4204,4204,4201,0,1,0,-1,-1,4190,4204
20935,4204,4205,4203,2577,108341815,620,4203,4204,4204,4201,0,1,0,-1,-1,4191,4204
20936,4204,4205,4202,5545,233113725,1571,4203,4204,4204,4201,0,0,0,-1,-1,4191,4203
20937,4203,4204,4202,1972,82886305,584,4203,4204,4204,4201,0,0,0,-1,-1,4194,4202
20938,4202,4203,4200,5727,240624650,1865,4203,4204,4204,4201,-1,0,0,-1,-1,4192,4201
20939,4202,4202,4197,11888,499201360,4118,4202,4204,4204,4201,-1,0,0,-1,-1,4192,4197
20940,4197,4199,4194,20474,859115660,6009,4201,4204,4203,4200,-1,0,0,-1,-1,4193,4198
20941,4198,4198,4196,6076,255047820,1777,4201,4204,4203,4200,-2,0,0,-1,-1,4194,4198
20942,4198,4198,4196,2885,121088755,859,4200,4203,4202,4200,-2,0,0,-1,-1,4194,4197
20943,4197,4198,4192,13286,557267465,3674,4199,4203,4202,4199,-3,0,-1,-2,-1,4195,4194
20944,4193,4194,4189,18698,783839945,4871,4198,4203,4201,4198,-3,0,1,-2,-1,4196,4191
20945,4192,4194,4189,11357,476025240,2876,4197,4203,4201,4198,-4,0,-1,-3,-2,4197,4193
20946,4193,4193,4191,5097,213659530,1444,4196,4202,4200,4197,-4,0,-1,-3,-2,4193,4191
20947,4191,4192,4187,17287,724150765,4442,4195,4202,4199,4196,-5,0,-2,-3,-2,4194,4188
20948,4188,4190,4188,6494,272055695,1802,4194,4202,4198,4195,-5,-1,-1,-3,-2,4193,4190
20949,4190,4192,4190,6165,258393650,1724,4194,4201,4198,4194,-6,-1,-1,-3,-3,4193,4191
20950,4191,4193,4191,4221,176951960,1219,4194,4201,4197,4193,-6,-1,-1,-3,-3,4194,4191
20951,4191,4194,4191,4866,204028355,1492,4194,4201,4196,4193,6,-2,0,-3,-3,4193,4194
20952,4194,4194,4191,3247,136136895,931,4193,4200,4195,4192,-6,-2,0,-3,-3,4195,4192
20953,4192,4192,4190,3884,162779460,1265,4193,4200,4195,4191,6,-2,0,-3,-3,4196,4192
20954,4192,4193,4192,2933,122980830,722,4193,4200,4194,4191,-6,-2,0,-2,-3,4195,4193
20955,4193,4194,4192,2092,87718920,608,4193,4200,4194,4191,-6,-2,0,-2,-3,4193,4193
